wavelength_nm,TNT_mirrors_M1xM2xM3xM4,focal_reducer_L1_T,LRS_fold_mirrors_x2,LRS_collimator_T,VPH_grating_eff,Nikon_camera_T,CCD_QE_BEX2DD,LRS_only_throughput,TOTAL_system_throughput
632,0.9768,0.9927,0.9888,0.9907,0.8941,0.7099,0.9060,0.5633,0.5463
633,0.9764,0.9927,0.9887,0.9907,0.8947,0.7099,0.9065,0.5640,0.5466
634,0.9759,0.9927,0.9887,0.9907,0.8953,0.7099,0.9070,0.5646,0.5470
635,0.9754,0.9926,0.9886,0.9906,0.8959,0.7099,0.9075,0.5652,0.5473
636,0.9750,0.9926,0.9886,0.9906,0.8964,0.7099,0.9080,0.5658,0.5476
637,0.9745,0.9925,0.9886,0.9905,0.8969,0.7099,0.9085,0.5664,0.5478
638,0.9740,0.9925,0.9885,0.9905,0.8974,0.7099,0.9090,0.5670,0.5481
639,0.9735,0.9925,0.9885,0.9905,0.8978,0.7099,0.9095,0.5675,0.5483
640,0.9731,0.9924,0.9884,0.9904,0.8982,0.7099,0.9100,0.5680,0.5485
641,0.9726,0.9924,0.9884,0.9904,0.8985,0.7099,0.9105,0.5685,0.5487
642,0.9721,0.9923,0.9884,0.9903,0.8988,0.7099,0.9110,0.5689,0.5489
643,0.9717,0.9923,0.9883,0.9903,0.8991,0.7099,0.9115,0.5694,0.5490
644,0.9712,0.9923,0.9883,0.9903,0.8993,0.7099,0.9120,0.5698,0.5491
645,0.9707,0.9922,0.9882,0.9902,0.8995,0.7099,0.9125,0.5702,0.5492
646,0.9703,0.9922,0.9882,0.9902,0.8997,0.7099,0.9130,0.5706,0.5493
647,0.9698,0.9921,0.9882,0.9901,0.8998,0.7099,0.9135,0.5709,0.5493
648,0.9693,0.9921,0.9881,0.9901,0.8999,0.7099,0.9140,0.5712,0.5493
649,0.9689,0.9921,0.9881,0.9901,0.9000,0.7099,0.9145,0.5715,0.5493
650,0.9684,0.9920,0.9880,0.9900,0.9000,0.7099,0.9150,0.5718,0.5493
651,0.9676,0.9920,0.9880,0.9899,0.9000,0.7099,0.9155,0.5720,0.5490
652,0.9668,0.9919,0.9880,0.9898,0.8999,0.7099,0.9160,0.5722,0.5487
653,0.9660,0.9919,0.9879,0.9897,0.8997,0.7099,0.9165,0.5723,0.5484
654,0.9653,0.9919,0.9879,0.9895,0.8995,0.7099,0.9170,0.5724,0.5480
655,0.9645,0.9918,0.9878,0.9894,0.8992,0.7099,0.9175,0.5724,0.5476
